group,keeper,duplicate,method,note
fresh/bigeye_scad,datasets\train\fresh\bigeye_scad\DSC_0241.JPG,datasets\validation\fresh\bigeye_scad\DSC_0236.JPG,phash,
fresh/country_maiden,datasets\train\fresh\country_maiden\DSC_0242.JPG,datasets\train\fresh\country_maiden\DSC_0265.JPG,phash,
fresh/country_maiden,datasets\train\fresh\country_maiden\DSC_0242.JPG,datasets\validation\fresh\country_maiden\DSC_0252.JPG,phash,
fresh/country_maiden,datasets\train\fresh\country_maiden\DSC_0256.JPG,datasets\validation\fresh\country_maiden\DSC_0271.JPG,phash,
fresh/country_maiden,datasets\train\fresh\country_maiden\DSC_0291.JPG,datasets\validation\fresh\country_maiden\DSC_0295.JPG,phash,
fresh/indian_mackerel,datasets\train\fresh\indian_mackerel\DSC_0265.JPG,datasets\train\fresh\indian_mackerel\DSC_0266.JPG,phash,
fresh/indian_mackerel,datasets\train\fresh\indian_mackerel\DSC_0269.JPG,datasets\train\fresh\indian_mackerel\DSC_0276.JPG,phash,
fresh/indian_mackerel,datasets\train\fresh\indian_mackerel\DSC_0273.JPG,datasets\train\fresh\indian_mackerel\DSC_0278.JPG,phash,
fresh/indian_mackerel,datasets\train\fresh\indian_mackerel\DSC_0273.JPG,datasets\test\fresh\indian_mackerel\DSC_0274.JPG,phash,
fresh/indian_mackerel,datasets\train\fresh\indian_mackerel\DSC_0924.JPG,datasets\train\fresh\indian_mackerel\DSC_0939.JPG,phash,
not_fresh/bigeye_scad,datasets\train\not_fresh\bigeye_scad\DSC_0430.JPG,datasets\validation\not_fresh\bigeye_scad\DSC_0446.JPG,phash,
not_fresh/bigeye_scad,datasets\train\not_fresh\bigeye_scad\DSC_0435.JPG,datasets\test\not_fresh\bigeye_scad\DSC_0423.JPG,phash,
not_fresh/country_maiden,datasets\train\not_fresh\country_maiden\DSC_0401.JPG,datasets\validation\not_fresh\country_maiden\DSC_0381.JPG,phash,
not_fresh/fringescale_sardinella,datasets\train\not_fresh\fringescale_sardinella\DSC_0489.JPG,datasets\train\not_fresh\fringescale_sardinella\DSC_0490.JPG,phash,
not_fresh/fringescale_sardinella,datasets\train\not_fresh\fringescale_sardinella\DSC_0489.JPG,datasets\validation\not_fresh\fringescale_sardinella\DSC_0487.JPG,phash,
not_fresh/fringescale_sardinella,datasets\train\not_fresh\fringescale_sardinella\DSC_0489.JPG,datasets\validation\not_fresh\fringescale_sardinella\DSC_0504.JPG,phash,
not_fresh/fringescale_sardinella,datasets\validation\not_fresh\fringescale_sardinella\DSC_0502.JPG,datasets\test\not_fresh\fringescale_sardinella\DSC_0507.JPG,phash,
not_fresh/indian_mackerel,datasets\validation\not_fresh\indian_mackerel\DSC_0039.JPG,datasets\test\not_fresh\indian_mackerel\DSC_0038.JPG,phash,
not_fresh/mackerel_scad,datasets\train\not_fresh\mackerel_scad\DSC_0474.JPG,datasets\train\not_fresh\mackerel_scad\DSC_0482.JPG,phash,
