group,keeper,duplicate,method,note
fresh/indian_mackerel,datasets/train/fresh/indian_mackerel/DSC_0266.JPG,datasets/test/fresh/indian_mackerel/DSC_0265.JPG,phash,
fresh/indian_mackerel,datasets/train/fresh/indian_mackerel/DSC_0269.JPG,datasets/train/fresh/indian_mackerel/DSC_0276.JPG,phash,
fresh/indian_mackerel,datasets/train/fresh/indian_mackerel/DSC_0274.JPG,datasets/validation/fresh/indian_mackerel/DSC_0273.JPG,phash,
fresh/indian_mackerel,datasets/train/fresh/indian_mackerel/DSC_0561.JPG,datasets/train/fresh/indian_mackerel/DSC_0572.JPG,phash,
fresh/indian_mackerel,datasets/train/fresh/indian_mackerel/DSC_0561.JPG,datasets/validation/fresh/indian_mackerel/DSC_0564.JPG,phash,
fresh/indian_mackerel,datasets/train/fresh/indian_mackerel/DSC_0561.JPG,datasets/validation/fresh/indian_mackerel/DSC_0570.JPG,phash,
fresh/indian_mackerel,datasets/train/fresh/indian_mackerel/DSC_0561.JPG,datasets/validation/fresh/indian_mackerel/DSC_0571.JPG,phash,
fresh/indian_mackerel,datasets/train/fresh/indian_mackerel/DSC_0561.JPG,datasets/test/fresh/indian_mackerel/DSC_0556.JPG,phash,
fresh/indian_mackerel,datasets/train/fresh/indian_mackerel/DSC_0561.JPG,datasets/test/fresh/indian_mackerel/DSC_0576.JPG,phash,
fresh/indian_mackerel,datasets/train/fresh/indian_mackerel/DSC_0562.JPG,datasets/train/fresh/indian_mackerel/DSC_0566.JPG,phash,
fresh/indian_mackerel,datasets/train/fresh/indian_mackerel/DSC_0562.JPG,datasets/train/fresh/indian_mackerel/DSC_0567.JPG,phash,
fresh/indian_mackerel,datasets/train/fresh/indian_mackerel/DSC_0562.JPG,datasets/train/fresh/indian_mackerel/DSC_0569.JPG,phash,
fresh/indian_mackerel,datasets/train/fresh/indian_mackerel/DSC_0562.JPG,datasets/train/fresh/indian_mackerel/DSC_0573.JPG,phash,
fresh/indian_mackerel,datasets/train/fresh/indian_mackerel/DSC_0562.JPG,datasets/test/fresh/indian_mackerel/DSC_0554.JPG,phash,
fresh/indian_mackerel,datasets/train/fresh/indian_mackerel/DSC_0562.JPG,datasets/test/fresh/indian_mackerel/DSC_0575.JPG,phash,
fresh/indian_mackerel,datasets/train/fresh/indian_mackerel/DSC_0924.JPG,datasets/validation/fresh/indian_mackerel/DSC_0939.JPG,phash,
fresh/country_maiden,datasets/train/fresh/country_maiden/DSC_0242.JPG,datasets/train/fresh/country_maiden/DSC_0252.JPG,phash,
fresh/country_maiden,datasets/train/fresh/country_maiden/DSC_0242.JPG,datasets/train/fresh/country_maiden/country_maiden_image(27).JPG,phash,
fresh/country_maiden,datasets/train/fresh/country_maiden/DSC_0295.JPG,datasets/test/fresh/country_maiden/DSC_0291.JPG,phash,
fresh/country_maiden,datasets/train/fresh/country_maiden/DSC_0305.JPG,datasets/train/fresh/country_maiden/country_maiden_image(6).JPG,phash,
fresh/country_maiden,datasets/train/fresh/country_maiden/DSC_0307.JPG,datasets/test/fresh/country_maiden/country_maiden_image(8).JPG,phash,
fresh/country_maiden,datasets/train/fresh/country_maiden/DSC_0310.JPG,datasets/test/fresh/country_maiden/country_maiden_image(11).JPG,phash,
fresh/country_maiden,datasets/train/fresh/country_maiden/DSC_0311.JPG,datasets/train/fresh/country_maiden/country_maiden_image(12).JPG,phash,
fresh/country_maiden,datasets/train/fresh/country_maiden/DSC_0314.JPG,datasets/train/fresh/country_maiden/country_maiden_image(15).JPG,phash,
fresh/country_maiden,datasets/train/fresh/country_maiden/country_maiden_image(10).JPG,datasets/validation/fresh/country_maiden/DSC_0309.JPG,phash,
fresh/country_maiden,datasets/train/fresh/country_maiden/country_maiden_image(13).JPG,datasets/validation/fresh/country_maiden/DSC_0312.JPG,phash,
fresh/country_maiden,datasets/train/fresh/country_maiden/country_maiden_image(16).JPG,datasets/test/fresh/country_maiden/DSC_0315.JPG,phash,
fresh/country_maiden,datasets/train/fresh/country_maiden/country_maiden_image(17).JPG,datasets/test/fresh/country_maiden/DSC_0316.JPG,phash,
fresh/country_maiden,datasets/train/fresh/country_maiden/country_maiden_image(18).JPG,datasets/train/fresh/country_maiden/country_maiden_image(33).JPG,phash,
fresh/country_maiden,datasets/validation/fresh/country_maiden/DSC_0303.JPG,datasets/test/fresh/country_maiden/country_maiden_image(4).JPG,phash,
fresh/country_maiden,datasets/validation/fresh/country_maiden/country_maiden_image(14).JPG,datasets/test/fresh/country_maiden/DSC_0313.JPG,phash,
fresh/country_maiden,datasets/validation/fresh/country_maiden/country_maiden_image(5).JPG,datasets/test/fresh/country_maiden/DSC_0304.JPG,phash,
fresh/country_maiden,datasets/test/fresh/country_maiden/DSC_0300.JPG,datasets/test/fresh/country_maiden/country_maiden_image(1).JPG,phash,
fresh/country_maiden,datasets/test/fresh/country_maiden/DSC_0301.JPG,datasets/test/fresh/country_maiden/country_maiden_image(2).JPG,phash,
fresh/shortfin_scad,datasets/train/fresh/shortfin_scad/DSC_0587.JPG,datasets/train/fresh/shortfin_scad/DSC_0595.JPG,phash,
fresh/shortfin_scad,datasets/validation/fresh/shortfin_scad/DSC_0596.JPG,datasets/test/fresh/shortfin_scad/DSC_0591.JPG,phash,
fresh/bigeye_scad,datasets/train/fresh/bigeye_scad/DSC_0236.JPG,datasets/train/fresh/bigeye_scad/DSC_0241.JPG,phash,
fresh/bigeye_scad,datasets/train/fresh/bigeye_scad/DSC_0236.JPG,datasets/test/fresh/bigeye_scad/DSC_0246.JPG,phash,
fresh/bigeye_scad,datasets/train/fresh/bigeye_scad/DSC_0583.JPG,datasets/test/fresh/bigeye_scad/DSC_0582.JPG,phash,
fresh/bigeye_scad,datasets/validation/fresh/bigeye_scad/DSC_0850.JPG,datasets/test/fresh/bigeye_scad/DSC_0849.JPG,phash,
not_fresh/indian_mackerel,datasets/train/not_fresh/indian_mackerel/DSC_0038.JPG,datasets/train/not_fresh/indian_mackerel/DSC_0039.JPG,phash,
not_fresh/country_maiden,datasets/train/not_fresh/country_maiden/DSC_04102(10).JPG,datasets/train/not_fresh/country_maiden/DSC_0418.JPG,phash,
not_fresh/country_maiden,datasets/train/not_fresh/country_maiden/DSC_0417.JPG,datasets/validation/not_fresh/country_maiden/DSC_04102(9).JPG,phash,
not_fresh/country_maiden,datasets/validation/not_fresh/country_maiden/DSC_0381.JPG,datasets/test/not_fresh/country_maiden/DSC_04102(28).JPG,phash,
not_fresh/shortfin_scad,datasets/train/not_fresh/shortfin_scad/DSC_0467.JPG,datasets/train/not_fresh/shortfin_scad/DSC_0600.JPG,phash,
not_fresh/shortfin_scad,datasets/train/not_fresh/shortfin_scad/DSC_0601.JPG,datasets/train/not_fresh/shortfin_scad/DSC_0604.JPG,phash,
not_fresh/shortfin_scad,datasets/train/not_fresh/shortfin_scad/DSC_0601.JPG,datasets/train/not_fresh/shortfin_scad/DSC_0605.JPG,phash,
not_fresh/shortfin_scad,datasets/test/not_fresh/shortfin_scad/DSC_0474.JPG,datasets/test/not_fresh/shortfin_scad/DSC_0482.JPG,phash,
not_fresh/fringescale_sardinella,datasets/train/not_fresh/fringescale_sardinella/DSC_0509_SEPT (20).JPG,datasets/train/not_fresh/fringescale_sardinella/DSC_0509_SEPT (21).JPG,phash,
not_fresh/fringescale_sardinella,datasets/train/not_fresh/fringescale_sardinella/DSC_0509_SEPT (20).JPG,datasets/test/not_fresh/fringescale_sardinella/DSC_0509_SEPT (126).JPG,phash,
not_fresh/fringescale_sardinella,datasets/train/not_fresh/fringescale_sardinella/DSC_0509_SEPT (3).JPG,datasets/train/not_fresh/fringescale_sardinella/DSC_0509_SEPT (8).JPG,phash,
not_fresh/bigeye_scad,datasets/train/not_fresh/bigeye_scad/DSC_0430.JPG,datasets/train/not_fresh/bigeye_scad/DSC_0446.JPG,phash,
not_fresh/bigeye_scad,datasets/validation/not_fresh/bigeye_scad/DSC_0435.JPG,datasets/test/not_fresh/bigeye_scad/DSC_0423.JPG,phash,
